epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1713.89,0.74193,0.32223,0.01019,0.85165,0.81551,0.86551,0.58746,1.20322,0.90901,0.02124,0.000174665,0.000174665,0.000174665
43,1753.89,0.72939,0.30735,0.01008,0.86596,0.80511,0.87187,0.59991,1.18396,0.91466,0.02061,0.000171755,0.000171755,0.000171755
44,1793.72,0.71854,0.30761,0.00979,0.85854,0.79308,0.86679,0.58809,1.22755,0.92394,0.02137,0.000168844,0.000168844,0.000168844
45,1833.69,0.71347,0.30006,0.0099,0.82304,0.82125,0.87655,0.58734,1.23015,0.86583,0.02163,0.000165934,0.000165934,0.000165934
46,1873.57,0.69345,0.297,0.00945,0.84965,0.8238,0.87467,0.58575,1.27302,0.86517,0.02273,0.000163023,0.000163023,0.000163023
47,1913.74,0.69786,0.29249,0.00951,0.83386,0.80761,0.86569,0.58748,1.22121,0.89558,0.02168,0.000160112,0.000160112,0.000160112
48,1953.7,0.68645,0.29318,0.00944,0.84688,0.76269,0.85314,0.57447,1.24556,0.95945,0.02225,0.000157202,0.000157202,0.000157202
49,1993.74,0.66633,0.2689,0.00914,0.84725,0.78475,0.84927,0.58436,1.23636,0.95254,0.02201,0.000154291,0.000154291,0.000154291
50,2033.81,0.66355,0.26722,0.00902,0.82278,0.79307,0.85284,0.59103,1.19834,0.96237,0.02131,0.000151381,0.000151381,0.000151381
51,2073.71,0.63694,0.26014,0.00856,0.85096,0.80777,0.86405,0.59043,1.24061,0.90768,0.02218,0.00014847,0.00014847,0.00014847
52,2113.48,0.64807,0.28145,0.00894,0.80439,0.80365,0.86417,0.59744,1.20483,0.93853,0.02149,0.000145559,0.000145559,0.000145559
53,2153.45,0.64097,0.26843,0.00878,0.84483,0.78861,0.86164,0.59138,1.19112,0.94492,0.02079,0.000142649,0.000142649,0.000142649
54,2193.34,0.61904,0.25043,0.00843,0.84569,0.82867,0.87194,0.59864,1.21142,0.90517,0.02138,0.000139738,0.000139738,0.000139738
55,2233.45,0.60539,0.25412,0.00816,0.8612,0.79721,0.87275,0.59463,1.22116,0.90076,0.02178,0.000136828,0.000136828,0.000136828
56,2273.29,0.60266,0.24167,0.00822,0.82821,0.81698,0.85913,0.59301,1.184,0.96004,0.02104,0.000133917,0.000133917,0.000133917
57,2313.47,0.58839,0.24246,0.00793,0.82667,0.84102,0.86583,0.59483,1.20724,0.9686,0.02155,0.000131006,0.000131006,0.000131006
58,2353.44,0.57899,0.23565,0.00782,0.84598,0.82538,0.87408,0.60154,1.20247,0.93014,0.02126,0.000128096,0.000128096,0.000128096
59,2393.19,0.56518,0.22949,0.00762,0.82007,0.85186,0.87828,0.60266,1.20932,0.91061,0.02141,0.000125185,0.000125185,0.000125185
60,2432.8,0.5761,0.24319,0.00777,0.83326,0.81812,0.86336,0.58432,1.24889,0.92574,0.02245,0.000122275,0.000122275,0.000122275
61,2472.65,0.56726,0.23868,0.00766,0.86582,0.80821,0.87913,0.60039,1.21688,0.88685,0.0214,0.000119364,0.000119364,0.000119364
62,2512.41,0.55068,0.2358,0.00745,0.81531,0.83258,0.86589,0.58788,1.21458,0.94326,0.02138,0.000116453,0.000116453,0.000116453
63,2552.2,0.54564,0.22138,0.00732,0.82859,0.8464,0.88378,0.60888,1.19938,0.88359,0.02109,0.000113543,0.000113543,0.000113543
64,2592.14,0.5346,0.21744,0.00728,0.8032,0.81664,0.87258,0.59884,1.1982,0.90289,0.02115,0.000110632,0.000110632,0.000110632
65,2631.88,0.53778,0.22515,0.00727,0.84732,0.81036,0.8666,0.59465,1.19086,0.90614,0.02095,0.000107722,0.000107722,0.000107722
66,2671.81,0.52251,0.21692,0.00703,0.84952,0.81974,0.86753,0.59042,1.23448,0.91099,0.02184,0.000104811,0.000104811,0.000104811
67,2711.75,0.52101,0.22355,0.00702,0.8424,0.84032,0.87444,0.60138,1.18348,0.91483,0.02082,0.0001019,0.0001019,0.0001019
68,2751.35,0.51505,0.21701,0.00686,0.85223,0.8068,0.86242,0.59142,1.21391,0.93663,0.02153,9.89898e-05,9.89898e-05,9.89898e-05
69,2791.04,0.50367,0.20652,0.00673,0.83333,0.82307,0.8691,0.59702,1.20804,0.94498,0.02125,9.60792e-05,9.60792e-05,9.60792e-05
70,2830.82,0.48557,0.20833,0.00653,0.86422,0.82473,0.87293,0.59704,1.19248,0.9145,0.021,9.31686e-05,9.31686e-05,9.31686e-05
71,2870.65,0.48349,0.20177,0.00646,0.84545,0.83385,0.86667,0.59023,1.21368,0.92556,0.02127,9.0258e-05,9.0258e-05,9.0258e-05
72,2910.36,0.48194,0.20584,0.00638,0.88124,0.79484,0.85874,0.58224,1.21551,0.9251,0.02139,8.73474e-05,8.73474e-05,8.73474e-05
73,2950.2,0.46629,0.20086,0.00616,0.87091,0.80645,0.86727,0.59363,1.20962,0.91407,0.02138,8.44368e-05,8.44368e-05,8.44368e-05
74,2989.86,0.46627,0.20182,0.0062,0.79656,0.84177,0.85658,0.57718,1.20039,0.93972,0.02118,8.15262e-05,8.15262e-05,8.15262e-05
75,3029.55,0.46178,0.19937,0.00618,0.84431,0.82559,0.8536,0.58311,1.20505,0.9642,0.02116,7.86156e-05,7.86156e-05,7.86156e-05
76,3069.35,0.45152,0.19553,0.00607,0.86466,0.83178,0.86819,0.59573,1.20105,0.93034,0.02094,7.5705e-05,7.5705e-05,7.5705e-05
77,3109.19,0.44654,0.1882,0.00592,0.86146,0.81742,0.86111,0.58244,1.20973,0.97315,0.02115,7.27944e-05,7.27944e-05,7.27944e-05
78,3148.97,0.4524,0.19886,0.00597,0.85594,0.82305,0.87103,0.59625,1.19999,0.96452,0.02095,6.98838e-05,6.98838e-05,6.98838e-05
79,3188.79,0.45068,0.19697,0.00603,0.87614,0.80957,0.86386,0.59155,1.20748,0.96612,0.02105,6.69732e-05,6.69732e-05,6.69732e-05
80,3228.46,0.45031,0.19128,0.00608,0.85262,0.82094,0.87013,0.59669,1.20638,0.95962,0.021,6.40626e-05,6.40626e-05,6.40626e-05
81,3268.22,0.42706,0.18836,0.00563,0.81477,0.8521,0.86479,0.59797,1.20042,0.97516,0.02097,6.1152e-05,6.1152e-05,6.1152e-05
82,3308.01,0.4301,0.18167,0.00569,0.86193,0.81259,0.86616,0.60011,1.18264,0.96419,0.02063,5.82414e-05,5.82414e-05,5.82414e-05
83,3347.78,0.42699,0.18102,0.00572,0.852,0.82068,0.8581,0.59453,1.18691,0.98286,0.02063,5.53308e-05,5.53308e-05,5.53308e-05
84,3387.58,0.41403,0.18526,0.00543,0.86139,0.82968,0.85988,0.58728,1.18794,0.97729,0.02067,5.24202e-05,5.24202e-05,5.24202e-05
85,3427.37,0.40858,0.17734,0.00542,0.84437,0.80551,0.85601,0.58748,1.19205,0.99407,0.02077,4.95096e-05,4.95096e-05,4.95096e-05
86,3467.18,0.41015,0.17561,0.00545,0.85251,0.81228,0.85846,0.59141,1.19533,0.98428,0.0209,4.6599e-05,4.6599e-05,4.6599e-05
87,3507.13,0.40505,0.17612,0.00535,0.85316,0.81468,0.86412,0.59317,1.18478,0.96608,0.02065,4.36884e-05,4.36884e-05,4.36884e-05
88,3546.68,0.39879,0.17659,0.00523,0.86903,0.81672,0.86192,0.59609,1.19544,0.97603,0.0207,4.07778e-05,4.07778e-05,4.07778e-05
89,3586.38,0.3955,0.17645,0.00523,0.86186,0.82472,0.86204,0.59393,1.18808,0.96679,0.02068,3.78672e-05,3.78672e-05,3.78672e-05
90,3626.16,0.38638,0.17885,0.00514,0.85195,0.82614,0.85996,0.59303,1.1752,0.98087,0.02048,3.49566e-05,3.49566e-05,3.49566e-05
91,3666.04,0.3884,0.17507,0.00514,0.86107,0.81686,0.86469,0.59508,1.18078,0.97233,0.02055,3.2046e-05,3.2046e-05,3.2046e-05
92,3705.71,0.38676,0.1681,0.00509,0.85271,0.827,0.86694,0.60221,1.18086,0.96395,0.02062,2.91354e-05,2.91354e-05,2.91354e-05
93,3745.55,0.38236,0.17322,0.00508,0.83985,0.82775,0.8622,0.59642,1.18041,0.98086,0.02051,2.62248e-05,2.62248e-05,2.62248e-05
94,3785.26,0.38213,0.17269,0.00508,0.85958,0.81306,0.86229,0.59719,1.17877,0.98516,0.02052,2.33142e-05,2.33142e-05,2.33142e-05
95,3824.96,0.38295,0.17033,0.005,0.83648,0.82818,0.85897,0.59575,1.17405,1.00092,0.02041,2.04036e-05,2.04036e-05,2.04036e-05
96,3864.68,0.37194,0.16527,0.00495,0.83736,0.83266,0.86116,0.59418,1.18129,0.99874,0.02055,1.7493e-05,1.7493e-05,1.7493e-05
97,3904.36,0.37452,0.17228,0.00497,0.84914,0.82913,0.86133,0.59214,1.17774,0.99029,0.02048,1.45824e-05,1.45824e-05,1.45824e-05
98,3944.04,0.37238,0.16639,0.00495,0.86273,0.82311,0.86249,0.59465,1.17225,0.98494,0.02039,1.16718e-05,1.16718e-05,1.16718e-05
99,3983.77,0.37621,0.16868,0.00493,0.85817,0.81422,0.86036,0.59476,1.17241,0.98596,0.0204,8.7612e-06,8.7612e-06,8.7612e-06
100,4023.56,0.36936,0.16431,0.00483,0.86056,0.8159,0.86063,0.59336,1.17568,0.98681,0.02045,5.8506e-06,5.8506e-06,5.8506e-06
