epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4614.14,0.97716,0.50962,1.06945,0.84825,0.82877,0.86985,0.48431,1.61503,0.82986,1.49728,0.0015941,0.0015941,0.0015941
43,4724.68,0.9628,0.52505,1.0636,0.92292,0.84932,0.90395,0.51487,1.55607,0.78564,1.44069,0.0015842,0.0015842,0.0015842
44,4834.45,0.92821,0.51544,1.03513,0.88166,0.87671,0.91031,0.51005,1.61281,0.77152,1.47665,0.0015743,0.0015743,0.0015743
45,4943.77,0.92552,0.50276,1.03537,0.92061,0.89726,0.92559,0.57618,1.38747,0.69198,1.3355,0.0015644,0.0015644,0.0015644
46,5053.11,0.95664,0.51496,1.04388,0.90249,0.86301,0.91141,0.53258,1.56177,0.73627,1.48345,0.0015545,0.0015545,0.0015545
47,5162.75,0.92087,0.48734,1.042,0.91745,0.94521,0.93662,0.5478,1.47999,0.69109,1.42585,0.0015446,0.0015446,0.0015446
48,5272.75,0.9056,0.48844,1.01529,0.87922,0.93151,0.91582,0.54675,1.4568,0.70782,1.40164,0.0015347,0.0015347,0.0015347
49,5382.59,0.89299,0.47563,1.02999,0.88585,0.90358,0.91035,0.56028,1.46195,0.7166,1.44023,0.0015248,0.0015248,0.0015248
50,5492.59,0.88238,0.47864,1.0177,0.88647,0.85566,0.9012,0.52808,1.54938,0.77968,1.50338,0.0015149,0.0015149,0.0015149
51,5602.6,0.92681,0.49643,1.0439,0.88034,0.87671,0.90437,0.55649,1.4677,0.73506,1.47309,0.001505,0.001505,0.001505
52,5712.11,0.88537,0.4805,1.04199,0.92205,0.91096,0.92116,0.56468,1.48825,0.73379,1.44258,0.0014951,0.0014951,0.0014951
53,5822.18,0.86827,0.49101,1.00692,0.90306,0.91781,0.90903,0.54098,1.54515,0.70771,1.43504,0.0014852,0.0014852,0.0014852
54,5932.12,0.93457,0.62011,1.04972,0.9499,0.90905,0.91613,0.57547,1.42403,0.66785,1.35171,0.0014753,0.0014753,0.0014753
55,6042.49,0.88238,0.47334,1.00983,0.92765,0.90411,0.89626,0.56132,1.41512,0.66122,1.36187,0.0014654,0.0014654,0.0014654
56,6152.67,0.87012,0.47191,1.00309,0.9152,0.88704,0.89014,0.55793,1.3748,0.68699,1.34078,0.0014555,0.0014555,0.0014555
57,6263.16,0.8177,0.45254,0.98586,0.91654,0.90256,0.91283,0.53663,1.48695,0.70672,1.40228,0.0014456,0.0014456,0.0014456
58,6373.19,0.85194,0.46033,1.01357,0.90699,0.91096,0.90865,0.56708,1.39498,0.7045,1.34432,0.0014357,0.0014357,0.0014357
59,6483.12,0.84097,0.45101,0.99192,0.94113,0.91781,0.91178,0.51006,1.57856,0.71139,1.50588,0.0014258,0.0014258,0.0014258
60,6593.85,0.85002,0.44076,0.98772,0.90866,0.91096,0.91138,0.57527,1.37047,0.70054,1.36642,0.0014159,0.0014159,0.0014159
61,6704.48,0.83729,0.43837,1.00323,0.92857,0.92466,0.91842,0.56516,1.45455,0.72326,1.42253,0.001406,0.001406,0.001406
62,6814.79,0.80553,0.43861,0.97735,0.91661,0.92466,0.91527,0.58046,1.39247,0.68845,1.36563,0.0013961,0.0013961,0.0013961
63,6925.24,0.81141,0.42305,0.99379,0.9303,0.91421,0.91793,0.57204,1.43632,0.63554,1.40521,0.0013862,0.0013862,0.0013862
64,7035.24,0.84241,0.4382,1.00161,0.9083,0.92466,0.92311,0.56803,1.42889,0.64624,1.3831,0.0013763,0.0013763,0.0013763
65,7145.91,0.84245,0.43789,0.99434,0.88668,0.91781,0.90898,0.56867,1.4518,0.69984,1.38173,0.0013664,0.0013664,0.0013664
66,7255.3,0.80743,0.42954,0.98167,0.8964,0.889,0.90522,0.58324,1.39778,0.6819,1.36129,0.0013565,0.0013565,0.0013565
67,7367,0.82383,0.4295,0.97702,0.92332,0.90411,0.91885,0.56731,1.43086,0.6538,1.38832,0.0013466,0.0013466,0.0013466
68,7477.01,0.7629,0.41251,0.96323,0.9049,0.91242,0.90962,0.56715,1.45438,0.66718,1.42277,0.0013367,0.0013367,0.0013367
69,7586.78,0.78253,0.41428,0.97871,0.92443,0.89726,0.91671,0.5858,1.37408,0.64084,1.33424,0.0013268,0.0013268,0.0013268
70,7698.07,0.77922,0.40826,0.96843,0.93612,0.90336,0.9212,0.57887,1.3625,0.65162,1.32684,0.0013169,0.0013169,0.0013169
71,7807.71,0.78397,0.46336,0.96944,0.889,0.89726,0.90809,0.55902,1.41232,0.6596,1.39234,0.001307,0.001307,0.001307
