epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,141.615,1.69393,2.026,1.63007,0.74789,0.87179,0.82082,0.51569,1.21343,1.95111,1.25811,0.00046,0.00046,0.00046
2,276.838,1.44362,1.1965,1.3066,0.64825,0.84615,0.7546,0.42317,1.24888,2.7636,1.31776,0.000935347,0.000935347,0.000935347
3,407.776,1.47742,1.06379,1.32418,0.45138,0.79487,0.55345,0.26159,1.71528,5.44711,1.94863,0.00140594,0.00140594,0.00140594
4,538.24,1.49891,1.08509,1.32781,0.38061,0.5641,0.42516,0.19352,1.86337,4.50202,1.92303,0.00187178,0.00187178,0.00187178
5,673.702,1.45853,1.03076,1.27601,0.6686,0.94872,0.82982,0.34591,1.7979,3.54049,2.115,0.0019604,0.0019604,0.0019604
6,810.257,1.40307,0.97959,1.29677,0.45313,0.71795,0.48854,0.17195,1.98364,3.13222,1.86274,0.0019505,0.0019505,0.0019505
7,952.19,1.3999,0.96114,1.25815,0.4666,0.51282,0.43131,0.15897,1.93286,1.87318,1.79518,0.0019406,0.0019406,0.0019406
8,1086.64,1.4312,0.91124,1.26859,0.75071,0.64103,0.71978,0.37425,1.75641,1.37331,1.64593,0.0019307,0.0019307,0.0019307
9,1240.89,1.40405,0.88242,1.26887,0.50146,0.56748,0.59699,0.22372,2.36895,1.52464,2.05439,0.0019208,0.0019208,0.0019208
10,1379.94,1.30203,0.80577,1.22105,0.73756,0.76923,0.82118,0.42911,1.57563,1.08529,1.41209,0.0019109,0.0019109,0.0019109
11,1512.3,1.31272,0.7843,1.2257,0.86306,0.80819,0.9032,0.41788,1.56745,1.01149,1.46091,0.001901,0.001901,0.001901
12,1642.7,1.24171,0.76212,1.19017,0.99384,0.97436,0.97725,0.56194,1.47227,0.756,1.3081,0.0018911,0.0018911,0.0018911
13,1774.4,1.20601,0.72683,1.15935,0.79129,0.94872,0.85329,0.44309,1.62471,0.93233,1.56935,0.0018812,0.0018812,0.0018812
14,1915.91,1.2709,0.73167,1.17425,0.90333,0.95857,0.95763,0.53203,1.52635,0.8371,1.37553,0.0018713,0.0018713,0.0018713
15,2059.36,1.22572,0.72701,1.17684,0.86906,0.76923,0.89979,0.46322,1.63735,0.86349,1.44427,0.0018614,0.0018614,0.0018614
16,2186.61,1.21862,0.7136,1.1714,0.90422,0.96841,0.9824,0.54403,1.46087,0.7472,1.37568,0.0018515,0.0018515,0.0018515
17,2312.87,1.18349,0.70777,1.14533,0.94416,1,0.99197,0.52396,1.56013,0.67174,1.43673,0.0018416,0.0018416,0.0018416
18,2440.75,1.19988,0.69145,1.15108,0.94072,0.97436,0.99076,0.55141,1.51863,0.68244,1.43619,0.0018317,0.0018317,0.0018317
19,2567.17,1.15652,0.66847,1.11642,0.94555,1,0.99402,0.58758,1.42295,0.64122,1.3443,0.0018218,0.0018218,0.0018218
20,2693.61,1.16109,0.68416,1.12734,0.94307,1,0.99203,0.55818,1.47176,0.71205,1.38202,0.0018119,0.0018119,0.0018119
21,2820.25,1.16727,0.6359,1.14311,0.97257,0.97436,0.98977,0.54689,1.42032,0.6982,1.36621,0.001802,0.001802,0.001802
22,2947.98,1.1605,0.63264,1.12349,0.94852,0.94505,0.97078,0.59508,1.438,0.69201,1.31179,0.0017921,0.0017921,0.0017921
23,3074.7,1.15049,0.63198,1.13554,0.88006,0.94086,0.97399,0.5335,1.59597,0.709,1.3632,0.0017822,0.0017822,0.0017822
