epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,13309.2,0.68114,0.37699,0.95038,0.78514,0.72842,0.8046,0.53467,1.33454,0.99067,1.38542,0.000234333,0.000234333,0.000234333
43,13612.6,0.66126,0.36823,0.9415,0.64921,0.78566,0.80535,0.53105,1.33424,1.02999,1.34894,0.000232877,0.000232877,0.000232877
44,13916.4,0.67123,0.36436,0.94285,0.84897,0.70107,0.8215,0.536,1.3237,1.09349,1.34313,0.000231422,0.000231422,0.000231422
45,14220.9,0.64611,0.36196,0.93796,0.78131,0.72741,0.80837,0.54488,1.27045,1.05748,1.31846,0.000229967,0.000229967,0.000229967
46,14525.1,0.65517,0.35469,0.94029,0.74454,0.74181,0.81765,0.54622,1.33292,1.07993,1.37993,0.000228511,0.000228511,0.000228511
47,14829.4,0.6299,0.34773,0.93769,0.8494,0.74044,0.82258,0.5635,1.32417,1.08158,1.38014,0.000227056,0.000227056,0.000227056
48,15133.4,0.63115,0.3466,0.93228,0.82223,0.75636,0.81911,0.56308,1.28507,1.01172,1.33032,0.000225601,0.000225601,0.000225601
49,15437.9,0.63344,0.3439,0.92962,0.8003,0.79638,0.84505,0.5902,1.22825,0.9592,1.29888,0.000224146,0.000224146,0.000224146
50,15741.7,0.61178,0.33682,0.91906,0.80117,0.76237,0.83671,0.56696,1.28037,0.99258,1.35262,0.00022269,0.00022269,0.00022269
51,16046.1,0.61885,0.33556,0.92199,0.84168,0.74533,0.83429,0.56773,1.31535,0.99354,1.36533,0.000221235,0.000221235,0.000221235
52,16349.9,0.59369,0.32653,0.91353,0.78748,0.75547,0.82857,0.56885,1.32239,1.05365,1.37071,0.00021978,0.00021978,0.00021978
53,16653.6,0.62324,0.3358,0.92776,0.84485,0.76026,0.83498,0.53359,1.4091,1.13019,1.48012,0.000218324,0.000218324,0.000218324
54,16956.8,0.61888,0.33735,0.9244,0.8035,0.71434,0.82599,0.5398,1.41201,1.1087,1.46582,0.000216869,0.000216869,0.000216869
55,17260.6,0.60997,0.33199,0.92465,0.74108,0.77544,0.80777,0.53497,1.30947,1.11718,1.39117,0.000215414,0.000215414,0.000215414
56,17564.7,0.60142,0.32033,0.91724,0.81135,0.75645,0.81156,0.54408,1.31764,0.98496,1.38061,0.000213958,0.000213958,0.000213958
57,17869.8,0.5956,0.32029,0.9118,0.82839,0.75601,0.83392,0.57876,1.28184,0.95838,1.35943,0.000212503,0.000212503,0.000212503
58,18174.4,0.55367,0.30423,0.90148,0.8078,0.76599,0.81505,0.56795,1.27809,1.01382,1.37476,0.000211048,0.000211048,0.000211048
59,18479.6,0.57591,0.30988,0.90512,0.82399,0.73187,0.82613,0.56863,1.32788,1.05419,1.43315,0.000209593,0.000209593,0.000209593
60,18784.3,0.56057,0.30644,0.90434,0.75974,0.80828,0.8118,0.55798,1.27265,1.07683,1.36426,0.000208137,0.000208137,0.000208137
61,19089.3,0.54893,0.30557,0.89381,0.85331,0.74349,0.80976,0.53578,1.37846,1.09582,1.44868,0.000206682,0.000206682,0.000206682
62,19394.4,0.54461,0.30309,0.89625,0.7841,0.7747,0.82887,0.57147,1.23684,0.95433,1.34971,0.000205227,0.000205227,0.000205227
63,19698.9,0.5501,0.3044,0.89546,0.78733,0.73522,0.7906,0.55162,1.29534,1.15509,1.41191,0.000203771,0.000203771,0.000203771
64,20003.4,0.53862,0.30145,0.88719,0.79331,0.75786,0.80618,0.55568,1.30686,1.07053,1.44522,0.000202316,0.000202316,0.000202316
65,20307.8,0.55366,0.29934,0.89454,0.75669,0.76825,0.82396,0.58528,1.2107,1.02828,1.31671,0.000200861,0.000200861,0.000200861
66,20612.3,0.5552,0.29931,0.90098,0.76175,0.78659,0.82973,0.57284,1.28613,1.06124,1.36035,0.000199406,0.000199406,0.000199406
67,20916.9,0.54229,0.28959,0.887,0.78181,0.74419,0.81572,0.55723,1.25452,0.99592,1.33353,0.00019795,0.00019795,0.00019795
68,21221.9,0.53516,0.28999,0.8812,0.7898,0.72318,0.8175,0.5725,1.25663,1.05611,1.33704,0.000196495,0.000196495,0.000196495
69,21527.4,0.53391,0.29245,0.89522,0.81414,0.74722,0.82217,0.58631,1.23502,1.02074,1.34457,0.00019504,0.00019504,0.00019504
70,21832,0.5304,0.28582,0.88927,0.76295,0.74052,0.81147,0.5283,1.33347,1.08216,1.41558,0.000193584,0.000193584,0.000193584
